network_condition,tester,time_seconds,avg_load_time_ms
"(latency: 40, download: 20971520, upload: 20971520)",ClassicLoadTester,86400,21361.725274725275
"(latency: 40, download: 20971520, upload: 20971520)",ClassicLoadTester,604800,18797.637362637364
"(latency: 40, download: 20971520, upload: 20971520)",ClassicLoadTester,31622400,15198.274725274725
"(latency: 40, download: 62914560, upload: 62914560)",CacheV2LoadTester,60,7847.347826086957
"(latency: 40, download: 62914560, upload: 62914560)",CacheV2LoadTester,3600,7318.29347826087
"(latency: 40, download: 62914560, upload: 62914560)",CacheV2LoadTester,21600,8257.228260869566
"(latency: 40, download: 62914560, upload: 62914560)",CacheV2LoadTester,86400,4994.25
"(latency: 40, download: 62914560, upload: 62914560)",CacheV2LoadTester,604800,5064.5
"(latency: 40, download: 62914560, upload: 62914560)",CacheV2LoadTester,31622400,10071.04347826087
"(latency: 40, download: 62914560, upload: 62914560)",ClassicLoadTester,60,14016.641304347826
"(latency: 40, download: 62914560, upload: 62914560)",ClassicLoadTester,3600,13604.597826086956
"(latency: 40, download: 62914560, upload: 62914560)",ClassicLoadTester,21600,13013.0
"(latency: 40, download: 62914560, upload: 62914560)",ClassicLoadTester,86400,12003.239130434782
"(latency: 40, download: 62914560, upload: 62914560)",ClassicLoadTester,604800,10392.347826086956
"(latency: 40, download: 62914560, upload: 62914560)",ClassicLoadTester,31622400,10704.065217391304
